2026-08-06 23:57:29,406 | CAMERA_MANAGER | INFO | Sent frame 19 from c3
2026-08-06 23:57:29,425 | CAMERA_MANAGER | INFO | Sent frame 16 from c2
2026-08-06 23:57:29,445 | CAMERA_MANAGER | INFO | Sent frame 18 from c1
2026-08-06 23:57:29,493 | CAMERA_MANAGER | INFO | Sent frame 20 from c4
2026-08-06 23:57:29,666 | CAMERA_MANAGER | INFO | Sent frame 20 from c3
2026-08-06 23:57:29,673 | CAMERA_MANAGER | INFO | Sent frame 17 from c2
2026-08-06 23:57:29,695 | CAMERA_MANAGER | INFO | Sent frame 19 from c1
2026-08-06 23:57:29,744 | CAMERA_MANAGER | INFO | Sent frame 21 from c4
2026-08-06 23:57:29,894 | CAMERA_MANAGER | INFO | Sent frame 21 from c3
2026-08-06 23:57:29,903 | CAMERA_MANAGER | INFO | Sent frame 18 from c2
2026-08-06 23:57:29,945 | CAMERA_MANAGER | INFO | Sent frame 20 from c1
2026-08-06 23:57:29,995 | CAMERA_MANAGER | INFO | Sent frame 22 from c4
2026-08-06 23:57:30,162 | CAMERA_MANAGER | INFO | Sent frame 22 from c3
2026-08-06 23:57:30,196 | CAMERA_MANAGER | INFO | Sent frame 19 from c2
2026-08-06 23:57:30,198 | CAMERA_MANAGER | INFO | Sent frame 21 from c1
2026-08-06 23:57:30,259 | CAMERA_MANAGER | INFO | Sent frame 23 from c4
2026-08-06 23:57:30,380 | CAMERA_MANAGER | INFO | Sent frame 23 from c3
2026-08-06 23:57:30,408 | CAMERA_MANAGER | INFO | Sent frame 20 from c2
2026-08-06 23:57:30,447 | CAMERA_MANAGER | INFO | Sent frame 22 from c1
2026-08-06 23:57:30,497 | CAMERA_MANAGER | INFO | Sent frame 24 from c4
2026-08-06 23:57:30,618 | CAMERA_MANAGER | INFO | Sent frame 21 from c2
2026-08-06 23:57:30,630 | CAMERA_MANAGER | INFO | Sent frame 24 from c3
2026-08-06 23:57:30,698 | CAMERA_MANAGER | INFO | Sent frame 23 from c1
2026-08-06 23:57:30,748 | CAMERA_MANAGER | INFO | Sent frame 25 from c4
2026-08-06 23:57:30,926 | CAMERA_MANAGER | INFO | Sent frame 25 from c3
2026-08-06 23:57:30,953 | CAMERA_MANAGER | INFO | Sent frame 22 from c2
2026-08-06 23:57:30,969 | CAMERA_MANAGER | INFO | Sent frame 24 from c1
2026-08-06 23:57:30,999 | CAMERA_MANAGER | INFO | Sent frame 26 from c4
2026-08-06 23:57:31,172 | CAMERA_MANAGER | INFO | Sent frame 26 from c3
2026-08-06 23:57:31,198 | CAMERA_MANAGER | INFO | Sent frame 23 from c2
2026-08-06 23:57:31,220 | CAMERA_MANAGER | INFO | Sent frame 25 from c1
2026-08-06 23:57:31,249 | CAMERA_MANAGER | INFO | Sent frame 27 from c4
2026-08-06 23:57:31,403 | CAMERA_MANAGER | INFO | Sent frame 27 from c3
2026-08-06 23:57:31,429 | CAMERA_MANAGER | INFO | Sent frame 24 from c2
2026-08-06 23:57:31,451 | CAMERA_MANAGER | INFO | Sent frame 26 from c1
2026-08-06 23:57:31,500 | CAMERA_MANAGER | INFO | Sent frame 28 from c4
2026-08-06 23:57:31,652 | CAMERA_MANAGER | INFO | Sent frame 28 from c3
2026-08-06 23:57:31,659 | CAMERA_MANAGER | INFO | Sent frame 25 from c2
2026-08-06 23:57:31,702 | CAMERA_MANAGER | INFO | Sent frame 27 from c1
2026-08-06 23:57:31,751 | CAMERA_MANAGER | INFO | Sent frame 29 from c4
2026-08-06 23:57:31,917 | CAMERA_MANAGER | INFO | Sent frame 29 from c3
2026-08-06 23:57:31,948 | CAMERA_MANAGER | INFO | Sent frame 26 from c2
2026-08-06 23:57:31,954 | CAMERA_MANAGER | INFO | Sent frame 28 from c1
2026-08-06 23:57:32,002 | CAMERA_MANAGER | INFO | Sent frame 30 from c4
2026-08-06 23:57:32,139 | CAMERA_MANAGER | INFO | Sent frame 30 from c3
2026-08-06 23:57:32,180 | CAMERA_MANAGER | INFO | Sent frame 27 from c2
2026-08-06 23:57:32,204 | CAMERA_MANAGER | INFO | Sent frame 29 from c1
2026-08-06 23:57:32,253 | CAMERA_MANAGER | INFO | Sent frame 31 from c4
2026-08-06 23:57:32,376 | CAMERA_MANAGER | INFO | Sent frame 28 from c2
2026-08-06 23:57:32,384 | CAMERA_MANAGER | INFO | Sent frame 31 from c3
2026-08-06 23:57:32,456 | CAMERA_MANAGER | INFO | Sent frame 30 from c1
2026-08-06 23:57:32,503 | CAMERA_MANAGER | INFO | Sent frame 32 from c4
2026-08-06 23:57:32,643 | CAMERA_MANAGER | INFO | Sent frame 32 from c3
2026-08-06 23:57:32,682 | CAMERA_MANAGER | INFO | Sent frame 29 from c2
2026-08-06 23:57:32,705 | CAMERA_MANAGER | INFO | Sent frame 31 from c1
2026-08-06 23:57:32,754 | CAMERA_MANAGER | INFO | Sent frame 33 from c4
2026-08-06 23:57:32,917 | CAMERA_MANAGER | INFO | Sent frame 33 from c3
2026-08-06 23:57:32,953 | CAMERA_MANAGER | INFO | Sent frame 30 from c2
2026-08-06 23:57:32,957 | CAMERA_MANAGER | INFO | Sent frame 32 from c1
2026-08-06 23:57:33,005 | CAMERA_MANAGER | INFO | Sent frame 34 from c4
2026-08-06 23:57:33,150 | CAMERA_MANAGER | INFO | Sent frame 34 from c3
